Month,Sales,Cancel Orders,Total Orders,Cancel Rate %
2025-01,4517400.32,604,4975,12.140703517587939
2025-02,3216633.97,479,4134,11.586840832123851
2025-03,2848388.29,449,4156,10.803657362848893
2025-04,2644900.85,432,3604,11.986681465038846
2025-05,4072874.83,670,5542,12.08949837603753
2025-06,2973422.85,490,3849,12.730579371265263
2025-07,1916861.99,327,2584,12.654798761609905
2025-08,2746855.46,408,3793,10.756656999736357
2025-09,2304958.71,337,3113,10.825570189527786
2025-10,3363401.29,445,3201,13.901905654482974
2025-11,2113420.92,319,2594,12.297609868928296
2025-12,1941489.06,319,2499,12.765106042416965
